County,Year,Total_Crimes,Population,Crime_Rate_per_100k,rate_lag1,rate_lag2,rate_diff_1y,target_rate_tplus2,target_year
Albany,2010,11037,303833.0,3632.587638604102,,,,3267.1110601569026,2012
Albany,2011,10727,304559.0,3522.1418510042386,3632.587638604102,,,3090.0849969445544,2013
Albany,2012,9974,305285.0,3267.1110601569026,3522.1418510042386,3632.587638604102,-110.44578759986325,2994.7479436781346,2014
Albany,2013,9456,306011.0,3090.0849969445544,3267.1110601569026,3522.1418510042386,-255.030790847336,2811.3951922670367,2015
Albany,2014,9186,306737.0,2994.7479436781346,3090.0849969445544,3267.1110601569026,-177.02606321234816,2854.786112393287,2016
Albany,2015,8644,307463.0,2811.3951922670367,2994.7479436781346,3090.0849969445544,-95.33705326641984,2864.693797366163,2017
Albany,2016,8770,307203.4,2854.786112393287,2811.3951922670367,2994.7479436781346,-183.35275141109787,2722.670421234612,2018
Albany,2017,8793,306943.8,2864.693797366163,2854.786112393287,2811.3951922670367,43.39092012625042,2612.0618253234243,2019
Albany,2018,8350,306684.2,2722.670421234612,2864.693797366163,2854.786112393287,9.907684972875813,2419.6103408292915,2020
Albany,2019,8004,306424.6,2612.0618253234243,2722.670421234612,2864.693797366163,-142.02337613155078,2552.526971018015,2021
Albany,2020,7408,306165.0,2419.6103408292915,2612.0618253234243,2722.670421234612,-110.60859591118788,3149.5107238284763,2022
Albany,2021,7903,309614.75,2552.526971018015,2419.6103408292915,2612.0618253234243,-192.45148449413273,3105.7053513388414,2023
Albany,2022,9860,313064.5,3149.5107238284763,2552.526971018015,2419.6103408292915,132.9166301887235,2829.380805340601,2024
Albany,2023,9830,316514.25,3105.7053513388414,3149.5107238284763,2552.526971018015,596.9837528104613,,2025
Albany,2024,9053,319964.0,2829.380805340601,3105.7053513388414,3149.5107238284763,-43.80537248963492,,2026
Allegany,2010,841,48070.0,1749.5319325982941,,,,1786.9773247347616,2012
Allegany,2011,895,48070.0,1861.868109007697,1749.5319325982941,,,1655.9184522571252,2013
Allegany,2012,859,48070.0,1786.9773247347616,1861.868109007697,1749.5319325982941,112.33617640940292,1279.3842313293114,2014
Allegany,2013,796,48070.0,1655.9184522571252,1786.9773247347616,1861.868109007697,-74.89078427293543,1204.4934470563762,2015
Allegany,2014,615,48070.0,1279.3842313293114,1655.9184522571252,1786.9773247347616,-131.05887247763644,1198.7392281125306,2016
Allegany,2015,579,48070.0,1204.4934470563762,1279.3842313293114,1655.9184522571252,-376.53422092781375,1074.6649325642477,2017
Allegany,2016,572,47716.8,1198.7392281125306,1204.4934470563762,1279.3842313293114,-74.8907842729352,974.2525058284974,2018
Allegany,2017,509,47363.6,1074.6649325642477,1198.7392281125306,1204.4934470563762,-5.754218943845672,979.484409694538,2019
Allegany,2018,458,47010.4,974.2525058284974,1074.6649325642477,1198.7392281125306,-124.07429554828286,868.1755355908778,2020
Allegany,2019,457,46657.2,979.484409694538,974.2525058284974,1074.6649325642477,-100.41242673575027,833.6212854181064,2021
Allegany,2020,402,46304.0,868.1755355908778,979.484409694538,974.2525058284974,5.231903866040625,876.8140981340706,2022
Allegany,2021,386,46304.0,833.6212854181064,868.1755355908778,979.484409694538,-111.30887410366029,896.2508638562542,2023
Allegany,2022,406,46304.0,876.8140981340706,833.6212854181064,868.1755355908778,-34.55425017277139,822.8230822391155,2024
Allegany,2023,415,46304.0,896.2508638562542,876.8140981340706,833.6212854181064,43.19281271596424,,2025
Allegany,2024,381,46304.0,822.8230822391155,896.2508638562542,876.8140981340706,19.436765722183623,,2026
Bronx,2010,34008,1386657.0,2452.5170968739926,,,,2562.6061309578527,2012
Bronx,2011,35130,1394997.0,2518.284985559109,2452.5170968739926,,,2569.992994148095,2013
Bronx,2012,35962,1403337.0,2562.6061309578527,2518.284985559109,2452.5170968739926,65.7678886851163,2537.293567612219,2014
Bronx,2013,36280,1411677.0,2569.992994148095,2562.6061309578527,2518.284985559109,44.32114539874374,2541.3114508487724,2015
Bronx,2014,36030,1420017.0,2537.293567612219,2569.992994148095,2562.6061309578527,7.386863190242366,2579.2369256761863,2016
Bronx,2015,36299,1428357.0,2541.3114508487724,2537.293567612219,2569.992994148095,-32.69942653587623,2486.7691443124513,2017
Bronx,2016,36834,1428096.8,2579.2369256761863,2541.3114508487724,2537.293567612219,4.017883236553644,2476.5749840078615,2018
Bronx,2017,35507,1427836.6,2486.7691443124513,2579.2369256761863,2541.3114508487724,37.92547482741384,2470.020308043866,2019
Bronx,2018,35355,1427576.4,2476.5749840078615,2486.7691443124513,2579.2369256761863,-92.46778136373496,2537.882185422296,2020
Bronx,2019,35255,1427316.2,2470.020308043866,2476.5749840078615,2486.7691443124513,-10.194160304589786,2704.675627421066,2021
Bronx,2020,36217,1427056.0,2537.882185422296,2470.020308043866,2476.5749840078615,-6.554675963995578,3433.4122868787745,2022
Bronx,2021,38311,1416473.0,2704.675627421066,2537.882185422296,2470.020308043866,67.86187737843011,3647.584366737929,2023
Bronx,2022,48270,1405890.0,3433.4122868787745,2704.675627421066,2537.882185422296,166.79344199877005,3671.77863603144,2024
Bronx,2023,50895,1395307.0,3647.584366737929,3433.4122868787745,2704.675627421066,728.7366594577084,,2025
Bronx,2024,50844,1384724.0,3671.77863603144,3647.584366737929,3433.4122868787745,214.17207985915456,,2026
Broome,2010,6207,200272.0,3099.284972437485,,,,3458.869691334621,2012
Broome,2011,6643,199836.2,3324.2225382588335,3099.284972437485,,,3370.448813507528,2013
Broome,2012,6897,199400.4,3458.869691334621,3324.2225382588335,3099.284972437485,224.93756582134847,3182.4098065368858,2014
Broome,2013,6706,198964.6,3370.448813507528,3458.869691334621,3324.2225382588335,134.64715307578763,3260.58972300889,2015
Broome,2014,6318,198528.8,3182.4098065368858,3370.448813507528,3458.869691334621,-88.42087782709314,2754.938471009149,2016
Broome,2015,6459,198093.0,3260.58972300889,3182.4098065368858,3370.448813507528,-188.03900697064228,2853.7465133084547,2017
Broome,2016,5424,196882.8,2754.938471009149,3260.58972300889,3182.4098065368858,78.17991647200415,2640.099062852253,2018
Broome,2017,5584,195672.6,2853.7465133084547,2754.938471009149,3260.58972300889,-505.6512519997409,2676.8129935907587,2019
Broome,2018,5134,194462.4,2640.099062852253,2853.7465133084547,2754.938471009149,98.80804229930573,2697.8473458930857,2020
Broome,2019,5173,193252.2,2676.8129935907587,2640.099062852253,2853.7465133084547,-213.64745045620157,2406.6597369916494,2021
Broome,2020,5181,192042.0,2697.8473458930857,2676.8129935907587,2640.099062852253,36.713930738505496,2653.183640159716,2022
Broome,2021,4648,193130.75,2406.6597369916494,2697.8473458930857,2676.8129935907587,21.03435230232708,2482.742024466452,2023
Broome,2022,5153,194219.5,2653.183640159716,2406.6597369916494,2697.8473458930857,-291.1876089014363,2582.015000229128,2024
Broome,2023,4849,195308.25,2482.742024466452,2653.183640159716,2406.6597369916494,246.52390316806668,,2025
Broome,2024,5071,196397.0,2582.015000229128,2482.742024466452,2653.183640159716,-170.44161569326388,,2026
Cattaraugus,2010,2019,80229.0,2516.5463859701604,,,,2617.8404509659795,2012
Cattaraugus,2011,1925,79975.6,2406.9841301596985,2516.5463859701604,,,2228.547555770315,2013
Cattaraugus,2012,2087,79722.2,2617.8404509659795,2406.9841301596985,2516.5463859701604,-109.56225581046192,1826.665017155755,2014
Cattaraugus,2013,1771,79468.8,2228.547555770315,2617.8404509659795,2406.9841301596985,210.85632080628102,1643.8286770851803,2015
Cattaraugus,2014,1447,79215.4,1826.665017155755,2228.547555770315,2617.8404509659795,-389.29289519566464,1607.24201345906,2016
Cattaraugus,2015,1298,78962.0,1643.8286770851803,1826.665017155755,2228.547555770315,-401.88253861455973,1506.201554359019,2017
Cattaraugus,2016,1262,78519.6,1607.24201345906,1643.8286770851803,1826.665017155755,-182.8363400705748,1410.4499528561932,2018
Cattaraugus,2017,1176,78077.2,1506.201554359019,1607.24201345906,1643.8286770851803,-36.5866636261203,1209.9636751804583,2019
Cattaraugus,2018,1095,77634.8,1410.4499528561932,1506.201554359019,1607.24201345906,-101.04045910004106,1125.7328990228013,2020
Cattaraugus,2019,934,77192.4,1209.9636751804583,1410.4499528561932,1506.201554359019,-95.75160150282568,1396.0258402158802,2021
Cattaraugus,2020,864,76750.0,1125.7328990228013,1209.9636751804583,1410.4499528561932,-200.48627767573498,1725.0780095253735,2022
Cattaraugus,2021,1067,76431.25,1396.0258402158802,1125.7328990228013,1209.9636751804583,-84.23077615765692,1541.02416096314,2023
Cattaraugus,2022,1313,76112.5,1725.0780095253735,1396.0258402158802,1125.7328990228013,270.29294119307883,1623.0539913878767,2024
Cattaraugus,2023,1168,75793.75,1541.02416096314,1725.0780095253735,1396.0258402158802,329.05216930949337,,2025
Cattaraugus,2024,1225,75475.0,1623.0539913878767,1541.02416096314,1725.0780095253735,-184.0538485622335,,2026
Cayuga,2010,1765,79978.0,2206.856885643552,,,,2269.7599678618058,2012
Cayuga,2011,1717,79817.0,2151.1708032123483,2206.856885643552,,,1908.2961192527832,2013
Cayuga,2012,1808,79656.0,2269.7599678618058,2151.1708032123483,2206.856885643552,-55.68608243120343,1961.3280560667558,2014
Cayuga,2013,1517,79495.0,1908.2961192527832,2269.7599678618058,2151.1708032123483,118.58916464945742,1961.5272883432483,2015
Cayuga,2014,1556,79334.0,1961.3280560667558,1908.2961192527832,2269.7599678618058,-361.46384860902253,1813.7939794233455,2016
Cayuga,2015,1553,79173.0,1961.5272883432483,1961.3280560667558,1908.2961192527832,53.03193681397261,1751.2486108804783,2017
Cayuga,2016,1428,78730.0,1813.7939794233455,1961.5272883432483,1961.3280560667558,0.19923227649246655,1590.3602075946765,2018
Cayuga,2017,1371,78287.0,1751.2486108804783,1813.7939794233455,1961.5272883432483,-147.7333089199028,1574.915052777096,2019
Cayuga,2018,1238,77844.0,1590.3602075946765,1751.2486108804783,1813.7939794233455,-62.54536854286721,1689.2330881779671,2020
Cayuga,2019,1219,77401.0,1574.915052777096,1590.3602075946765,1751.2486108804783,-160.88840328580181,1359.3459948075079,2021
Cayuga,2020,1300,76958.0,1689.2330881779671,1574.915052777096,1590.3602075946765,-15.445154817580487,1289.5561788483749,2022
Cayuga,2021,1038,76360.25,1359.3459948075079,1689.2330881779671,1574.915052777096,114.31803540087117,1315.7763446296303,2023
Cayuga,2022,977,75762.5,1289.5561788483749,1359.3459948075079,1689.2330881779671,-329.8870933704593,946.7995225770112,2024
Cayuga,2023,989,75164.75,1315.7763446296303,1289.5561788483749,1359.3459948075079,-69.78981595913297,,2025
Cayuga,2024,706,74567.0,946.7995225770112,1315.7763446296303,1289.5561788483749,26.220165781255446,,2026
