Model,FoldYear,MAE,RMSE,R2
Linear Regression,2014,193.4919144672858,249.080831817513,0.8548857766855996
Random Forest,2014,189.63992842656032,238.005379581453,0.8675039553094168
Gradient Boosting (tuned),2014,187.91685755345242,232.90567483488974,0.8731210699194039
Stacking tuned (meta_gb_md2),2014,198.2566041724264,240.30041863236048,0.8649363687587088
Linear Regression,2015,116.11432340412526,149.02563192099743,0.9414239986575892
Random Forest,2015,155.70979333412234,194.47569560417352,0.9002464306389719
Gradient Boosting (tuned),2015,144.44473943819216,189.258760441395,0.9055265533222752
Stacking tuned (meta_gb_md2),2015,147.42396669207292,182.99163409390604,0.9116797584657007
Linear Regression,2016,124.90701535346206,154.54751285062036,0.9322932030066646
Random Forest,2016,143.62210183306138,179.89876185465536,0.9082587660636954
Gradient Boosting (tuned),2016,149.4265407123607,196.30562052869908,0.890762010847731
Stacking tuned (meta_gb_md2),2016,157.27246423270412,205.39579968726227,0.8804109696167901
Linear Regression,2017,129.03963944675743,152.77474667238295,0.9319871811853391
Random Forest,2017,128.2101028338507,171.54881980679878,0.9142442796392726
Gradient Boosting (tuned),2017,135.0654711613003,180.90540328835795,0.9046346279699
Stacking tuned (meta_gb_md2),2017,131.19901525536974,178.19513633025878,0.9074706902151173
Linear Regression,2018,145.0182348058071,183.80835002219303,0.8968802205950185
Random Forest,2018,134.6445789054729,183.62908482865902,0.8970812644841698
Gradient Boosting (tuned),2018,142.69431071760627,194.01429483814465,0.8851108645361326
Stacking tuned (meta_gb_md2),2018,138.76038724785286,186.0967411105107,0.8942965802440495
Linear Regression,2019,131.49652959879006,163.32665745716838,0.9240704060059659
Random Forest,2019,146.8326340472573,179.62460823729808,0.9081606931562958
Gradient Boosting (tuned),2019,130.3611701151365,163.84041421064074,0.9235919697754544
Stacking tuned (meta_gb_md2),2019,132.85808650627166,168.0973154151991,0.9195699229762226
Linear Regression,2020,189.9050435761935,229.6377070178433,0.8479933192025062
Random Forest,2020,174.0806818549667,208.50065483621557,0.8746884450282681
Gradient Boosting (tuned),2020,177.11256966956879,220.25620563671234,0.8601596252275975
Stacking tuned (meta_gb_md2),2020,172.3570809994361,209.4109701828977,0.8735918340508866
Linear Regression,2021,174.83050770645548,230.8051756930538,0.8540502702770378
Random Forest,2021,141.4586301290484,193.30371573981816,0.8976253069338913
Gradient Boosting (tuned),2021,124.08258075945868,176.15892757586184,0.9149799171843626
Stacking tuned (meta_gb_md2),2021,129.85263734832827,185.38502334870316,0.90584107313334
Linear Regression,2022,341.15784779131275,436.41109945737105,0.6504451857700306
Random Forest,2022,295.95535509502236,390.92209172266035,0.7195185523697969
Gradient Boosting (tuned),2022,252.88349125848865,344.2759407802611,0.7824610340074568
Stacking tuned (meta_gb_md2),2022,255.32280027633334,350.48627653471675,0.774541949355837
Linear Regression,2023,213.8483262776518,280.5182701492662,0.867861171298167
Random Forest,2023,214.12751927282753,299.73873780325414,0.8491331241857866
Gradient Boosting (tuned),2023,178.49064709471668,242.3084891829579,0.9014071528899582
Stacking tuned (meta_gb_md2),2023,179.5615133993454,249.8169875764887,0.8952022199908728
Linear Regression,2024,199.85838266079932,252.7579254143518,0.8941863684254433
Random Forest,2024,201.50419096215586,249.17096473365885,0.8971683219149565
Gradient Boosting (tuned),2024,193.7833010564792,239.38416899957494,0.9050876103459278
Stacking tuned (meta_gb_md2),2024,228.6891576864787,289.621408802313,0.861070849840253
