Model,Fold,Rows,MAE,RMSE,R2
Linear Regression,predict_2016_from_prior_years,61,126.4886047784403,157.0741333773448,0.9300612971792658
Random Forest,predict_2016_from_prior_years,61,132.57030228253245,172.28642765706346,0.9158584785720513
Gradient Boosting (tuned),predict_2016_from_prior_years,61,131.9361100764023,172.51920756344478,0.9156309541223493
Stacking tuned (meta_gb_md2),predict_2016_from_prior_years,61,145.30678227206505,188.15685939258913,0.8996428453934147
Linear Regression,predict_2018_from_prior_years,61,145.66755654871662,184.94138157191443,0.8956050002932545
Random Forest,predict_2018_from_prior_years,61,146.07200726143228,185.6896171422692,0.8947585692317417
Gradient Boosting (tuned),predict_2018_from_prior_years,61,134.0650568355286,177.67552795680112,0.9036466693852646
Stacking tuned (meta_gb_md2),predict_2018_from_prior_years,61,144.26809022308268,192.93849687276318,0.8863814392411026
Linear Regression,predict_2020_from_prior_years,61,183.5967951555878,219.62079518715612,0.8609653039243909
Random Forest,predict_2020_from_prior_years,61,156.8210817331449,195.457271081788,0.8898765181106274
Gradient Boosting (tuned),predict_2020_from_prior_years,61,145.622083653155,181.75221457770922,0.9047783516670569
Stacking tuned (meta_gb_md2),predict_2020_from_prior_years,61,144.68724226401648,175.38626600844898,0.9113318930287747
Linear Regression,predict_2022_from_prior_years,61,358.45929564345295,457.38755620893687,0.616034324671833
Random Forest,predict_2022_from_prior_years,61,343.27865057287113,444.9276504966911,0.636668957475026
Gradient Boosting (tuned),predict_2022_from_prior_years,61,311.57275010856983,401.42264862133504,0.7042481590128182
Stacking tuned (meta_gb_md2),predict_2022_from_prior_years,61,324.5988690200289,420.38845738505375,0.6756415035320402
Linear Regression,predict_2024_from_prior_years,61,199.01375094013585,260.28206219910624,0.8877928495122064
Random Forest,predict_2024_from_prior_years,61,205.04417805213907,263.52108278314716,0.8849828006913891
Gradient Boosting (tuned),predict_2024_from_prior_years,61,186.1487958461282,235.21488724332647,0.9083649403293038
Stacking tuned (meta_gb_md2),predict_2024_from_prior_years,61,220.59831131598386,262.79424679691164,0.8856163997110617
