County,target_year,Predicted_Crime_Rate_per_100k,Population_Projected,Total_Crimes_Projected
Albany,2025,2945.2386349139233,323413.75,10375.900000000489
Allegany,2025,707.7444211637485,46303.99999999999,394.1000000000008
Bronx,2025,3719.4826448300123,1374141.0,57458.800000000745
Broome,2025,2488.357049528201,197485.75000000116,4974.69999999997
Cattaraugus,2025,1541.3741519727225,75156.25,1374.3000000000757
Cayuga,2025,882.917323077242,73969.24999999977,630.8999999998778
Chautauqua,2025,1717.7176366124734,123235.2499999993,2141.399999999965
Chemung,2025,2245.1960795210243,80364.99999999977,1746.3999999999942
Chenango,2025,775.4957138098005,47526.99999999999,397.8999999999942
Clinton,2025,1644.4837180773397,77258.74999999977,1448.0999999999476
Columbia,2025,815.4695875919952,60015.999999999985,541.6000000000058
Cortland,2025,2124.4200353641763,47617.99999999999,1197.9000000000524
Delaware,2025,694.7908276922201,44675.999999999985,342.1000000000131
Dutchess,2025,1205.408318939264,301572.75000000093,3638.7999999999897
Erie,2025,2793.4117031612586,958534.2500000037,27141.400000000373
Essex,2025,608.8113234139962,37280.999999999985,283.7999999999993
Franklin,2025,1133.105346523798,50388.99999999998,627.3000000000175
Fulton,2025,1145.2527370493715,53451.99999999998,540.899999999936
Genesee,2025,1365.4508216127058,57553.999999999985,897.8000000000357
Greene,2025,713.0959940155303,47334.99999999999,357.29999999998836
Hamilton,2025,399.7181700450444,4453.999999999998,17.099999999994907
Herkimer,2025,2068.982363248835,61737.999999999985,1354.0000000000582
Jefferson,2025,1661.5760167012859,113561.50000000023,1857.899999999987
Kings,2025,2849.45668280747,2627846.0000000037,68630.70000000298
Lewis,2025,560.7149280228829,26455.999999999996,191.40000000000873
Livingston,2025,820.6811491009645,63217.999999999985,602.4000000000051
Madison,2025,1194.0684551234167,66092.4999999993,813.2999999999884
Monroe,2025,2605.1463930628806,754481.5000000005,20026.000000000466
Montgomery,2025,1079.9372778804188,49293.99999999999,596.1999999999825
Nassau,2025,1209.503442410829,1401626.7500000037,19610.20000000205
New York,2025,4220.254235462405,1668541.7500000037,79962.9000000041
Niagara,2025,1305.1867421300897,209426.24999999988,2861.899999999907
Oneida,2025,2013.2607211794734,228165.24999999965,4770.700000000106
Onondaga,2025,2690.2494238644836,471867.25000000047,12256.199999999953
Ontario,2025,1248.8460825103268,113821.50000000023,1424.0000000000146
Orange,2025,1095.4054355896938,419189.50000000186,4828.300000000039
Orleans,2025,859.7915996239598,40623.999999999985,404.2000000000007
Oswego,2025,1292.5141424439087,118473.75000000003,1509.3999999999942
Otsego,2025,913.4585806023684,59592.999999999985,557.5999999999913
Putnam,2025,450.5870181877609,98332.75,538.4000000000306
Queens,2025,3051.522829330373,2328307.2500000075,63721.10000000149
Rensselaer,2025,1731.2907350230248,161183.00000000023,3069.0000000000437
Richmond,2025,1708.811734304961,503866.0000000037,9696.100000000559
Rockland,2025,1245.38897205213,353876.75000000186,4783.800000000279
Saratoga,2025,1124.585360290325,243121.75000000093,2905.700000000099
Schenectady,2025,2629.83798932867,164054.75000000093,4701.100000000151
Schoharie,2025,603.0268048747557,31188.99999999999,165.89999999997963
Schuyler,2025,362.670757603216,17844.999999999996,87.0000000000091
Seneca,2025,1282.1765773720351,34294.999999999985,540.6000000000167
Steuben,2025,1224.3638719923565,91057.99999999907,1255.3000000000175
Suffolk,2025,1228.5038956610258,1549545.2500000075,21075.700000000186
Sullivan,2025,1034.4409568148021,81730.25000000047,883.500000000004
Tioga,2025,504.5765120684557,48430.99999999999,214.60000000000582
Tompkins,2025,1979.0336983671718,106443.25,2185.200000000048
Ulster,2025,932.6693446143713,184128.50000000047,1617.499999999971
Warren,2025,1335.4046253027934,65563.25000000006,1052.900000000067
Washington,2025,586.1120629531197,61303.99999999998,460.400000000016
Wayne,2025,1304.5220699921279,90920.50000000009,1218.500000000029
Westchester,2025,1199.8584519605663,1015874.2500000037,12175.000000000116
Wyoming,2025,556.375354798478,40026.99999999999,223.39999999999418
Yates,2025,551.496326209306,24980.999999999996,153.0999999999949
Albany,2026,2947.9518164289275,326863.50000000186,10646.020000000834
Allegany,2026,656.515763410775,46303.99999999999,393.7800000000043
Bronx,2026,4072.3743392172582,1363557.9999999888,61416.64000000246
Broome,2026,2462.5136477732367,198574.5000000014,5110.560000000027
Cattaraugus,2026,1485.115543162937,74837.49999999988,1387.4400000000896
Cayuga,2026,779.7674697881066,73371.49999999953,542.619999999908
Chautauqua,2026,1638.1434100650813,122365.49999999907,2031.3199999998324
Chemung,2026,2377.4411120427717,79614.99999999953,1913.5200000000186
Chenango,2026,614.8857792117315,47526.999999999985,252.4199999999837
Clinton,2026,1697.7153686559357,76646.4999999993,1641.4799999999814
Columbia,2026,764.817099852715,60016.0,492.4800000000105
Cortland,2026,2037.12402691774,47618.0,1209.8200000000797
Delaware,2026,565.1990576712777,44675.999999999985,290.88000000000466
Dutchess,2026,1198.765051276322,303182.50000000186,3713.0400000000445
Erie,2026,2861.4931898025256,966466.5000000056,29094.120000001043
Essex,2026,584.0640448437716,37280.99999999999,281.9400000000087
Franklin,2026,1127.9487017627866,50388.99999999998,580.0400000000227
Fulton,2026,1076.1935293945423,53451.99999999999,477.81999999989057
Genesee,2026,1262.8869752560634,57553.99999999999,822.1400000000576
Greene,2026,604.838155420135,47335.00000000001,264.03999999994994
Hamilton,2026,402.6991496653823,4453.999999999998,16.179999999994834
Herkimer,2026,2067.3225546702283,61738.0,1476.1000000001513
Jefferson,2026,1575.254417132674,113983.00000000047,1861.619999999999
Kings,2026,3455.9583069215787,2638061.0000000037,72276.1600000048
Lewis,2026,563.0348142557216,26456.0,203.1200000000208
Livingston,2026,797.9414994641037,63217.99999999999,612.9200000000237
Madison,2026,1188.2779559342398,65112.99999999907,772.5400000000081
Monroe,2026,2520.5867701419284,756761.0000000019,21144.000000001164
Montgomery,2026,968.9841836827844,49294.00000000001,591.7599999999875
Nassau,2026,1202.860174747887,1410815.5000000075,20564.860000002664
New York,2026,4221.165706062409,1676419.5000000093,84324.72000000626
Niagara,2026,1126.652607131532,209282.49999999977,2680.419999999809
Oneida,2026,2013.2607211794734,227983.49999999977,4588.260000000097
Onondaga,2026,2701.299554773151,473922.50000000186,13284.860000000335
Ontario,2026,1217.7206043294145,114631.0000000007,1399.7000000000262
Orange,2026,1084.2684249328788,426612.0000000056,4707.240000000049
Orleans,2026,762.2970127146361,40623.99999999999,410.0600000000104
Oswego,2026,1218.526336712608,118642.50000000006,1438.6200000000244
